concept_category,concept,n_subj,color_set,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71
fruit,apple,,uw71,0.082685185,0.064953704,0.08462963,0.085138889,0.062037037,0.097222222,0.070972222,0.09212963,0.076712963,0.10625,0.089722222,0.0775,0.072962963,0.096527778,0.066018519,0.109398148,0.134027778,0.108703704,0.159398148,0.17,0.083101852,0.11,0.096111111,0.099768519,0.05837963,0.055416667,0.084814815,0.087268519,0.107916667,0.119490741,0.377731481,0.304583333,0.259166667,0.330185185,0.287777778,0.267175926,0.266203704,0.473796296,0.510231481,0.335277778,0.278981481,0.229722222,0.194768519,0.292083333,0.250092593,0.36712963,0.334814815,0.251203704,0.635648148,0.699027778,0.6475,0.599074074,0.498842593,0.558935185,0.525648148,0.42087963,0.302453704,0.359953704,0.325787037,0.255601852,0.259259259,0.381574074,0.838333333,0.566111111,0.638518519,0.588055556,0.440046296,0.428194444,0.350185185,0.330046296,0.286203704
fruit,banana,,uw71,0.072361111,0.069259259,0.076805556,0.073287037,0.065462963,0.075694444,0.074861111,0.071388889,0.081944444,0.085833333,0.087824074,0.077592593,0.08162037,0.078148148,0.070925926,0.068657407,0.081666667,0.077314815,0.08462963,0.087592593,0.083657407,0.087824074,0.081898148,0.085277778,0.120277778,0.104861111,0.093194444,0.103101852,0.119722222,0.109490741,0.100972222,0.098287037,0.101481481,0.101064815,0.082407407,0.199259259,0.146805556,0.25375,0.329768519,0.232546296,0.235694444,0.248055556,0.268287037,0.428009259,0.484583333,0.215046296,0.172453704,0.138842593,0.092916667,0.100740741,0.308333333,0.334305556,0.289305556,0.315138889,0.404537037,0.474583333,0.460972222,0.725555556,0.692083333,0.196666667,0.253611111,0.12212963,0.087175926,0.296990741,0.326990741,0.347592593,0.492175926,0.573148148,0.794259259,0.876898148,0.395833333
vegetable,carrot,,uw71,0.050235849,0.064150943,0.044339623,0.032358491,0.064669811,0.055330189,0.062641509,0.078679245,0.062641509,0.061698113,0.064292453,0.054198113,0.065990566,0.044622642,0.079009434,0.064622642,0.063820755,0.088773585,0.062688679,0.064103774,0.050188679,0.104811321,0.087122642,0.059009434,0.078207547,0.05259434,0.062169811,0.063726415,0.09240566,0.082971698,0.125566038,0.149669811,0.11995283,0.140707547,0.082830189,0.208915094,0.182641509,0.518726415,0.495660377,0.282122642,0.20004717,0.259811321,0.240943396,0.227830189,0.265990566,0.435754717,0.580471698,0.407169811,0.381226415,0.129386792,0.563207547,0.480896226,0.400754717,0.466273585,0.374528302,0.314622642,0.269150943,0.326367925,0.323726415,0.921556604,0.758584906,0.906415094,0.275141509,0.459669811,0.485613208,0.39004717,0.289009434,0.267830189,0.36490566,0.355330189,0.836037736
vegetable,celery,,uw71,0.075235849,0.056037736,0.057075472,0.043113208,0.069622642,0.056509434,0.0675,0.044198113,0.05009434,0.055566038,0.064716981,0.053915094,0.071367925,0.087264151,0.062075472,0.039669811,0.054150943,0.03745283,0.049009434,0.053349057,0.107735849,0.183254717,0.151650943,0.141132075,0.055235849,0.054764151,0.053349057,0.149056604,0.227169811,0.201792453,0.046745283,0.072924528,0.063066038,0.063867925,0.053537736,0.475943396,0.4025,0.673066038,0.722924528,0.610613208,0.536415094,0.275141509,0.245801887,0.204009434,0.172924528,0.125707547,0.073632075,0.072877358,0.055330189,0.046415094,0.830330189,0.771981132,0.737264151,0.762169811,0.698490566,0.584481132,0.209669811,0.180613208,0.140518868,0.079433962,0.090990566,0.075660377,0.043207547,0.753773585,0.823962264,0.750235849,0.593301887,0.420943396,0.135377358,0.133584906,0.078632075
fruit,cherry,,uw71,0.091712963,0.083842593,0.094814815,0.158518519,0.091157407,0.085462963,0.099212963,0.205277778,0.135462963,0.272731481,0.085833333,0.07912037,0.079675926,0.090046296,0.220509259,0.14712963,0.187453704,0.361990741,0.334722222,0.342314815,0.080833333,0.122546296,0.10212963,0.097962963,0.183657407,0.134814815,0.088055556,0.115416667,0.12787037,0.126388889,0.611805556,0.380972222,0.340046296,0.496574074,0.497222222,0.17462963,0.134490741,0.299212963,0.279768519,0.188935185,0.1725,0.160277778,0.138888889,0.141574074,0.156064815,0.340694444,0.263148148,0.27537037,0.593842593,0.751805556,0.285601852,0.242037037,0.225138889,0.286064815,0.246527778,0.190324074,0.11,0.161342593,0.162546296,0.181435185,0.150694444,0.297268519,0.879953704,0.208703704,0.250324074,0.241944444,0.191157407,0.153518519,0.154027778,0.183564815,0.165324074
property,comfort,,uw71,0.510277778,0.44375,0.478055556,0.370046296,0.51287037,0.51125,0.570787037,0.407314815,0.443287037,0.367037037,0.572037037,0.564814815,0.613240741,0.719444444,0.459259259,0.621111111,0.645694444,0.42,0.507453704,0.339259259,0.467037037,0.576805556,0.561712963,0.634583333,0.246944444,0.38212963,0.43587963,0.556111111,0.609861111,0.606990741,0.489212963,0.619537037,0.672916667,0.551990741,0.385972222,0.484398148,0.472083333,0.366851852,0.49287037,0.531064815,0.556157407,0.317777778,0.438009259,0.599675926,0.582361111,0.331203704,0.503333333,0.628796296,0.560046296,0.294861111,0.368842593,0.430509259,0.408518519,0.417453704,0.505648148,0.516898148,0.404953704,0.591944444,0.605833333,0.438472222,0.555648148,0.394814815,0.320694444,0.341712963,0.327083333,0.364583333,0.37087963,0.381805556,0.455601852,0.491111111,0.436990741
vegetable,corn,,uw71,0.083066038,0.075849057,0.067971698,0.068915094,0.075566038,0.067735849,0.072830189,0.079622642,0.079575472,0.073820755,0.072216981,0.050613208,0.072877358,0.08740566,0.102830189,0.095188679,0.087169811,0.069716981,0.073820755,0.06745283,0.072971698,0.141415094,0.082877358,0.089198113,0.082688679,0.0775,0.065801887,0.162122642,0.210707547,0.191698113,0.088490566,0.097688679,0.101556604,0.074764151,0.062877358,0.214858491,0.157358491,0.493584906,0.481745283,0.325518868,0.315377358,0.220283019,0.3025,0.447122642,0.450566038,0.216179245,0.198160377,0.133867925,0.099150943,0.074481132,0.511320755,0.447971698,0.363537736,0.440849057,0.43990566,0.430566038,0.471037736,0.718207547,0.698962264,0.295896226,0.387830189,0.188349057,0.080188679,0.449198113,0.438962264,0.428443396,0.469481132,0.601132075,0.867971698,0.873632075,0.468349057
activity,driving,,uw71,0.445046296,0.43462963,0.367314815,0.246944444,0.505555556,0.449768519,0.365833333,0.307685185,0.303888889,0.281759259,0.50625,0.442546296,0.506944444,0.490092593,0.301157407,0.299814815,0.317592593,0.276296296,0.298194444,0.281898148,0.342037037,0.391990741,0.41037037,0.437407407,0.553981481,0.538472222,0.602175926,0.505972222,0.495509259,0.544259259,0.308333333,0.361157407,0.3275,0.378425926,0.37962963,0.408657407,0.401666667,0.60375,0.549722222,0.421435185,0.415185185,0.413657407,0.407638889,0.419490741,0.520555556,0.375046296,0.364490741,0.327777778,0.438333333,0.488055556,0.672083333,0.562824074,0.536527778,0.556435185,0.47287037,0.413240741,0.382592593,0.467638889,0.503425926,0.426666667,0.37162037,0.44787037,0.57662037,0.549583333,0.55787037,0.505046296,0.463703704,0.471388889,0.635555556,0.619953704,0.524351852
activity,eating,,uw71,0.331574074,0.308888889,0.296435185,0.276944444,0.349305556,0.296342593,0.313888889,0.339675926,0.294212963,0.280833333,0.341342593,0.302962963,0.316666667,0.394953704,0.326574074,0.329351852,0.354861111,0.315046296,0.321342593,0.323240741,0.311018519,0.345231481,0.379212963,0.357361111,0.191805556,0.175324074,0.276527778,0.332592593,0.397453704,0.406805556,0.417361111,0.38462963,0.447916667,0.403564815,0.381666667,0.368981481,0.370740741,0.612407407,0.550138889,0.484675926,0.41287037,0.425694444,0.401064815,0.437592593,0.448703704,0.476712963,0.488935185,0.509444444,0.517592593,0.446574074,0.608888889,0.502222222,0.438009259,0.547037037,0.513935185,0.464583333,0.450833333,0.543472222,0.530324074,0.551944444,0.556759259,0.582407407,0.515,0.446851852,0.525509259,0.4825,0.485324074,0.493194444,0.621018519,0.638981481,0.610185185
property,efficiency,,uw71,0.553703704,0.488796296,0.493055556,0.491851852,0.559907407,0.489027778,0.481157407,0.359768519,0.447824074,0.443935185,0.577824074,0.447962963,0.488101852,0.531990741,0.388425926,0.437592593,0.46375,0.363935185,0.461296296,0.462777778,0.54712963,0.471435185,0.578425926,0.546666667,0.292453704,0.320185185,0.394398148,0.50712963,0.623101852,0.601805556,0.296527778,0.390138889,0.469074074,0.441990741,0.417824074,0.584583333,0.534537037,0.45912037,0.470787037,0.503703704,0.495231481,0.296296296,0.346018519,0.397268519,0.509074074,0.286805556,0.377592593,0.475648148,0.413240741,0.433055556,0.546527778,0.583194444,0.573148148,0.492361111,0.544444444,0.524398148,0.385231481,0.473703704,0.509259259,0.363287037,0.492175926,0.453981481,0.457731481,0.599907407,0.595787037,0.626342593,0.510555556,0.561990741,0.492685185,0.511342593,0.546018519
